status,batch,company,vertical,email,phone,source_url,why_relevant,personalization_note,sent_at,response,next_followup
queued,1,Old Faithful Plumbing,plumbing,oldfaithfulplumbing@gmail.com,587-568-1541,https://www.oldfaithfulplumbing.ca/contact,Drain cleaning leak repair and hot water tank replacement are high-intent lead categories.,Mentions Edmonton and surrounding area plus drain cleaning,,,
queued,1,WAYS Plumbing and Heating,plumbing,waysplumbing@gmail.com,780-246-2918,https://www.waysplumbing.com/contact.html,24/7 emergency response makes speed-to-lead relevant.,Personalize around emergency plumbing and heating calls,,,
queued,1,Everest Plumbing Heating and Drain Cleaning,plumbing,info@everestplumbingservices.com,780-934-1626,https://everestplumbingservices.com/contact-us/,Emergency plumbing and drain cleaning leads need fast callback.,Mentions emergency services available,,,
queued,1,ClogZAP Drain Cleaning,drain cleaning,info@clogzap.com,587-882-8977,https://clogzap.com/contact/,Drain cleaning dispatch can benefit from missed-call SMS rescue.,Their form says messages go directly to dispatch phone text,,,
queued,1,Infinite Plumbing Heating and Drain Cleaning,plumbing HVAC,infiniteplumbing@live.com,780-782-4441,https://www.infiniteplumbing.com/contact.html,Plumbing heating and drain cleaning are core Relinqo use cases.,Locally owned and services Edmonton area,,,
queued,2,Hermes Plumbing and Heating,plumbing HVAC,service@hermesplumbing.ca,780-934-7465,https://www.hermesplumbing.ca/contact,Open 24 hours and emergency calls are a strong owner-alert fit.,Lead with 24/7 emergency availability,,,
queued,2,Ram Mechanical,plumbing HVAC,admin@rammech.com,780-453-3090,https://www.rammech.com/about/contact-us,Plumbing and HVAC service requests often arrive by email and phone.,Established Edmonton area plumbing and HVAC provider,,,
queued,2,Thermo-Tech Mechanical Services,HVAC plumbing,thermotech@telus.net,780-468-5333,https://www.thermo-tech.ca/contact,HVAC and plumbing inquiries can be triaged into urgent vs quote requests.,Mentions 24/7 emergency services,,,
queued,2,Modern Air and Water,HVAC,info@modernairwater.com,780-475-6484,https://modernairwater.com/contact/,HVAC service and quote requests are a direct fit.,Trusted Edmonton HVAC and duct cleaning company,,,
queued,2,Supremex HVAC,HVAC,supremexhvac@gmail.com,780-956-0957,https://supremexhvac.com/,24/7 emergency HVAC service makes fast reply valuable.,Use emergency service angle,,,
queued,3,Accu-Air Technical Services,HVAC,info@accuairtech.ca,780-467-2748,https://www.accuairtech.ca/contact,HVAC technical service inquiries can be routed and followed up.,Use general service request angle,,,
queued,3,Strata Electrical,electrical,info@strataelectrical.com,780-893-3902,https://strataelectrical.com/contact/,24/7 electrician availability is a good hot-lead alert fit.,Mention quote and emergency electrical requests,,,
queued,3,Stud Electric,electrical,studelectrician@gmail.com,780-699-6518,https://www.studelectrical.ca/contact,Residential service booking flow could benefit from quick replies.,Personalize around booking and quote form,,,
queued,3,Sierra Electrical,electrical,info@sierraelectrical.com,780-944-9400,https://www.sierraelectrical.com/contact-us,Electrical inspection and emergency requests need quick triage.,Mention Edmonton and surrounding service area,,,
queued,3,Pitbull Electrical,electrical,james@pitbullelectrical.ca,780-937-3705,https://pitbullelectrical.ca/,Service calls and troubleshooting are high-intent inbound leads.,Personalize around fast service calls and troubleshooting,,,
queued,4,Falcon Roofing and Renovations,roofing,falconroofingab@gmail.com,780-257-8186,https://falconroof.ca/,Roof repair and storm damage quote requests need fast capture.,Mention hail storm damage and insurance-related leads,,,
queued,4,BLM Restoration and Renovation,restoration,info@blmrestoration.com,780-455-1407,https://blmrestoration.com/contact/,Water fire and mold restoration leads are urgent and time-sensitive.,Mention 24/7 emergency line and restoration response,,,
queued,4,Water Damage Edmonton,restoration,info@water-damage-edmonton.ca,587-524-6390,https://water-damage-edmonton.ca/,Water damage calls need immediate response and owner alerts.,Lead with 24-hour emergency service,,,
queued,4,Encore Overhead Doors,garage doors,info@encoreohd.com,587-754-1446,https://www.encoreoverheaddoors.com/contact-us/,Garage door service and repair requests often come from urgent calls.,Mention garage door repair and installation leads,,,
queued,4,ElevateX Overhead Doors,garage doors,info@elevatexdoors.com,780-782-8822,https://elevatexdoors.com/contact-us/,24/7 garage door repairs fit missed-call rescue and urgent SMS alerts.,Mention emergency spring and opener repair calls,,,
